,userId,genre,consent,device,gender,opleiding,age,mancheck1,mancheck2,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_31,pre_32,pre_33,post_1,post_2,post_3,post_4,post_5,post_8,post_9,post_10,post_11,post_12,post_13,post_14,post_15,post_16,post_17,post_18,post_19,post_20,post_21,post_22,post_23,post_24,post_25,post_26,post_27,post_28,post_29,post_30,post_31,post_32,post_33,post_34,post_35,post_36,post_37,post_38,post_39,post_40,post_41,post_42,conditie,calibrationId,recommendationId
0,1,2,0,1,3,5,54,0,1,3,6,3,4,4,3,4,7,4,2,4,3,4,3,4,7,7,1,6,3,2,4,7,4,7,1,1,2,4,1,7,2,6,4,1,6,5,5,3,1,1,6,6,3,4,1,4,1,3,3,3,1,6,7,2,2,5,5,5,7,3,1,1,,
1,2,4,1,1,2,4,60,1,0,2,2,7,5,7,7,4,3,1,6,7,2,1,7,7,1,3,7,4,2,4,4,4,4,7,6,5,1,7,6,4,5,7,4,4,1,5,2,7,3,3,6,3,1,7,2,3,5,4,3,4,2,2,4,5,6,3,4,2,2,6,7,0,,
2,3,4,0,1,0,1,46,0,1,4,6,3,4,4,4,2,4,4,3,6,5,5,6,4,5,7,5,5,5,6,3,5,2,3,2,7,6,2,5,2,3,1,2,2,1,3,6,3,7,2,5,1,2,2,1,5,3,1,7,2,4,1,5,2,4,6,2,1,1,4,1,0,,
3,4,0,1,3,3,5,26,0,0,2,6,7,6,1,2,6,6,6,7,5,4,4,7,5,2,5,1,4,1,4,5,1,4,6,5,4,6,6,7,4,5,2,3,6,2,3,6,1,4,2,3,1,2,1,7,1,1,2,4,4,1,1,6,3,1,7,2,4,5,6,5,1,,
4,5,1,1,3,2,5,48,1,0,1,1,1,4,3,4,6,7,3,3,1,3,6,5,7,2,5,6,2,3,1,3,7,1,3,4,4,6,3,2,5,5,6,4,5,5,7,5,3,1,5,7,5,2,7,4,4,3,7,1,1,2,1,3,2,1,4,6,4,3,3,6,1,,
5,6,5,0,2,2,1,60,1,0,6,1,3,5,5,4,5,5,3,1,3,5,3,5,6,5,1,4,4,3,3,3,3,5,3,7,5,2,7,4,2,5,4,3,2,2,5,2,5,2,3,2,4,4,3,4,5,6,2,7,5,6,4,6,7,1,3,7,1,4,4,3,1,,
6,7,2,1,2,1,1,35,0,0,1,4,2,5,6,1,6,3,2,3,7,2,6,3,3,5,5,4,7,1,3,1,5,5,7,1,2,3,5,6,7,4,1,7,1,1,5,1,2,2,1,7,3,6,3,1,4,4,7,1,4,5,2,6,4,3,6,5,3,3,1,3,1,,
7,8,2,1,2,2,3,25,0,0,2,4,5,3,3,5,6,1,5,2,3,6,4,5,2,2,5,7,2,1,2,4,2,4,7,1,7,1,3,1,6,5,2,7,1,7,3,2,4,4,7,1,7,7,2,2,2,1,6,1,7,4,5,2,3,3,1,6,2,3,7,7,0,,
8,9,5,0,2,1,4,25,0,0,7,5,6,1,4,2,7,3,4,6,6,3,2,1,4,5,2,6,1,6,4,6,6,2,6,5,1,1,1,7,2,5,7,5,5,3,5,6,7,7,4,3,7,5,1,6,3,6,3,4,4,3,6,5,6,3,5,6,5,1,7,3,0,,
9,10,3,0,3,0,1,37,1,0,3,6,1,5,7,4,3,4,1,7,2,4,1,5,2,3,1,3,7,5,2,4,6,3,7,1,7,7,3,5,7,2,7,4,2,7,2,4,2,7,3,2,1,3,1,2,2,4,7,2,1,1,5,5,5,5,3,2,7,2,4,6,1,,
