,consent,leeftijd,gender,opleiding,mancheck,pre_1,pre_2,pre_3,pre_4,pre_5,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_31,pre_32,pre_33,post_1,post_2,post_3,post_4,post_5,post_11,post_12,post_13,post_14,post_15,post_16,post_21,post_22,post_23,post_24,post_25,post_26,post_31,post_32,post_33,news1,news2,news3,conditie,calibrationId,recommendationId,userId
0,0,35,0,5,1,2,4,3,4,3,1,4,1,3,1,1,5,1,2,3,5,3,5,5,3,4,1,4,2,2,5,5,4,5,2,4,5,3,1,1,2,2,1,5,2,1,1,1,0,,,1
1,0,40,3,3,1,1,5,2,2,1,2,4,1,3,5,5,2,3,1,3,3,1,1,2,1,2,4,3,1,1,2,2,5,4,4,3,4,5,5,4,3,4,1,5,3,3,0,1,1,,,2
2,1,57,3,4,0,3,2,2,3,2,4,3,4,4,4,2,2,2,5,5,2,5,1,4,4,4,4,2,3,5,3,2,3,1,1,1,4,5,2,4,5,2,2,5,3,4,2,1,1,,,3
3,0,55,2,5,0,3,5,4,3,1,3,3,4,3,2,3,1,1,4,5,5,3,2,3,1,1,1,2,1,3,5,2,2,3,5,1,3,1,1,5,5,4,4,2,5,7,2,4,1,,,4
4,0,32,3,2,1,4,1,4,4,1,1,1,1,5,2,2,5,4,2,5,2,4,5,5,1,1,5,3,1,2,1,1,4,5,4,2,4,1,1,4,1,3,4,5,4,3,0,1,0,,,5
5,0,18,0,1,1,2,3,4,1,2,4,3,2,3,4,5,3,1,2,4,2,1,4,3,4,2,4,4,3,3,3,4,3,3,5,4,4,4,1,5,4,4,4,3,2,5,1,3,0,,,6
6,0,44,2,0,1,5,3,3,1,1,5,1,4,1,5,4,1,2,4,1,1,5,5,2,2,5,2,3,5,2,3,2,3,4,5,5,4,1,4,3,5,2,5,1,1,3,1,1,0,,,7
7,1,28,0,2,1,2,5,1,3,1,3,2,4,4,4,3,2,4,1,5,5,2,4,4,1,2,2,2,1,5,4,1,3,3,5,4,1,2,3,2,4,1,1,5,2,7,2,0,0,,,8
8,1,49,0,5,1,4,3,4,4,2,1,4,4,3,2,4,5,2,1,3,3,5,3,5,1,5,5,1,5,4,1,3,1,2,5,1,5,2,1,3,3,3,5,3,5,1,0,1,1,,,9
9,1,37,1,3,0,5,3,1,5,4,5,1,3,5,5,3,5,3,5,5,5,2,3,5,4,1,1,5,5,5,5,5,1,3,1,5,1,2,1,3,3,5,3,5,2,5,0,5,0,,,10
