,vega,gluten,lactose,other,consent,leeftijd,gender,opleiding,pre_1,pre_2,pre_3,pre_4,pre_5,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_31,pre_32,pre_33,post_1,post_2,post_3,post_4,post_5,post_11,post_12,post_13,post_14,post_15,post_16,post_21,post_22,post_23,post_24,post_25,post_26,post_31,post_32,post_33,conditie,calibrationId,recommendationId,userId
0,1,1,0,1,0,55,1,5,5,7,7,1,5,4,6,7,4,6,7,3,3,7,4,1,4,4,1,2,5,1,3,5,6,1,1,1,6,2,7,2,3,7,2,2,4,1,2,4,1,,,1
1,1,0,1,0,1,50,0,4,4,4,2,3,1,4,1,4,5,6,2,6,5,4,6,6,7,7,6,5,7,1,4,5,2,4,4,1,1,1,7,4,7,2,4,7,2,4,4,1,1,,,2
2,1,1,1,0,0,42,0,5,6,6,2,5,1,2,6,2,3,1,4,6,7,5,3,6,6,5,2,7,4,1,6,7,5,4,5,2,5,1,2,2,3,7,2,2,6,5,6,3,0,,,3
3,0,0,0,1,0,26,2,1,5,7,4,4,7,5,4,7,3,1,4,3,2,6,1,5,6,1,3,4,2,2,6,2,4,6,4,1,7,7,4,5,1,5,5,5,4,7,2,5,0,,,4
4,1,0,0,1,0,24,3,1,7,6,5,4,4,2,4,3,6,1,4,4,3,2,7,4,3,4,7,7,6,3,4,3,4,5,5,6,5,2,7,7,6,3,1,3,7,5,6,2,0,,,5
5,1,0,1,1,0,21,1,5,2,6,7,3,4,6,1,3,5,7,4,1,3,5,2,6,3,3,1,7,4,4,1,6,3,4,2,2,2,4,6,2,2,6,5,3,4,7,4,7,0,,,6
6,0,0,0,1,0,28,0,4,6,7,2,4,4,7,7,4,7,3,3,4,7,3,2,1,4,2,1,2,1,7,5,7,4,4,5,4,6,6,2,7,6,4,1,5,2,5,1,1,1,,,7
7,1,1,1,1,0,29,1,2,3,7,1,3,2,2,3,4,2,6,4,3,5,6,7,7,1,1,3,6,3,6,4,5,4,1,1,3,6,2,2,5,5,5,4,2,6,1,3,4,1,,,8
8,1,0,0,1,0,32,2,0,7,5,4,3,1,3,2,1,6,3,5,1,7,2,7,1,2,2,6,5,5,4,6,1,2,2,6,5,7,3,3,2,3,1,4,6,6,7,1,3,0,,,9
9,0,0,0,0,0,53,3,5,4,3,3,1,3,2,2,5,4,4,7,1,1,5,6,2,4,5,7,1,4,1,5,7,6,6,7,7,1,1,7,4,5,6,2,1,3,6,3,7,0,,,10
10,1,0,1,1,1,30,2,1,1,3,5,4,2,2,4,7,4,1,4,4,5,1,3,3,1,1,7,1,1,7,4,1,6,1,1,6,1,5,1,3,3,6,7,2,2,6,7,6,0,,,11
11,1,0,0,0,1,39,3,1,5,7,5,7,4,2,5,6,6,5,6,6,1,1,2,2,7,1,6,1,6,5,2,1,1,2,4,5,5,2,7,5,2,3,3,1,7,3,4,3,1,,,12
12,1,0,0,0,0,40,1,0,2,7,7,2,7,2,4,1,4,3,4,4,7,2,1,4,2,5,2,5,5,2,4,4,2,3,7,6,4,4,4,6,5,6,4,2,7,4,4,4,1,,,13
13,1,0,0,1,1,19,0,1,7,4,4,2,1,5,1,5,5,7,6,4,6,3,5,6,3,5,4,3,3,3,1,6,5,6,5,2,3,3,4,6,1,7,7,5,2,2,1,3,0,,,14
14,0,1,0,1,1,25,3,5,5,3,1,1,4,6,4,5,3,5,1,6,6,5,2,2,2,7,2,7,2,1,6,5,1,7,1,3,5,3,6,1,3,3,5,4,2,1,4,4,0,,,15
15,1,0,0,0,1,24,1,5,4,6,7,7,4,4,7,5,2,5,7,7,7,1,5,4,4,7,2,5,3,1,2,1,3,7,5,3,7,2,4,4,3,3,3,6,2,2,6,4,0,,,16
16,0,1,0,0,1,50,0,5,2,2,3,3,2,4,5,1,1,6,1,2,3,4,6,7,5,4,4,2,4,2,7,6,3,7,2,1,6,3,6,1,5,3,6,5,1,2,6,6,0,,,17
17,1,0,0,0,1,28,3,0,3,2,6,6,4,6,1,1,1,2,1,1,2,2,5,4,3,1,1,7,5,4,1,1,2,1,6,7,5,6,7,5,1,4,6,3,5,6,5,4,1,,,18
18,1,1,0,1,0,24,1,1,4,2,6,3,6,3,6,3,3,5,1,5,6,6,5,6,7,5,5,5,5,6,1,6,4,4,1,5,4,5,7,5,5,1,4,5,3,4,4,3,0,,,19
19,0,0,1,1,1,23,2,1,7,3,1,5,4,2,2,2,4,7,5,1,2,5,7,2,6,1,7,5,5,7,2,4,4,4,3,4,7,2,6,2,5,2,5,2,4,3,3,7,1,,,20
20,1,0,1,1,1,56,2,0,5,5,2,3,6,5,7,6,3,4,7,6,1,5,5,7,6,2,6,1,5,4,4,3,4,7,2,4,2,1,3,2,4,2,3,3,3,6,2,1,1,,,21
21,1,0,0,1,1,45,1,1,5,6,2,7,3,6,3,6,7,7,7,7,1,7,7,1,5,4,4,1,2,7,7,7,3,1,5,4,4,2,3,7,3,1,1,5,6,5,5,6,0,,,22
22,0,0,1,0,0,47,0,5,7,5,5,4,2,5,7,1,1,5,3,4,6,6,6,6,2,5,4,4,6,1,6,4,1,2,2,7,1,5,5,4,5,6,4,6,5,3,1,2,0,,,23
23,1,1,0,1,0,24,2,1,1,7,7,5,2,1,6,6,2,4,3,1,3,1,4,5,2,3,6,7,6,2,1,6,3,4,2,2,4,5,5,7,3,3,5,1,3,1,3,1,0,,,24
24,0,0,0,0,1,57,2,4,6,3,4,6,3,4,2,7,6,5,1,2,6,1,4,1,2,1,7,1,6,4,6,7,6,6,5,5,6,4,5,3,5,3,7,7,1,1,7,4,1,,,25
25,1,0,0,0,1,53,0,2,1,3,1,6,4,6,3,1,4,1,7,3,3,1,2,7,2,6,6,7,5,1,2,2,4,3,6,7,6,2,5,4,6,2,1,1,3,1,2,1,1,,,26
26,0,1,1,0,0,56,3,4,4,5,4,7,2,3,4,5,7,3,2,2,2,7,2,4,7,2,1,4,2,2,7,3,5,1,4,3,5,5,2,4,5,3,5,3,6,5,5,5,0,,,27
27,1,0,1,0,0,48,2,3,2,3,1,1,4,7,4,7,1,7,4,4,1,6,5,1,2,4,1,6,5,7,3,3,4,7,7,5,6,2,7,5,1,1,6,7,4,2,3,3,0,,,28
28,0,1,0,0,1,30,2,5,2,2,1,3,2,2,3,2,2,3,1,4,7,1,2,7,2,2,1,1,6,5,5,3,4,5,3,5,2,6,7,2,7,5,4,1,6,5,5,6,1,,,29
29,0,0,0,0,0,51,2,3,3,3,2,5,1,5,7,7,2,7,1,2,1,1,5,4,1,4,1,7,5,7,3,4,7,6,3,6,1,4,3,5,7,6,3,6,4,7,6,5,1,,,30
30,1,0,1,1,1,47,3,5,1,5,3,3,6,2,5,6,1,2,7,5,4,1,1,3,3,4,3,3,7,2,7,7,5,3,6,6,1,2,3,2,7,1,2,4,1,5,3,2,1,,,31
31,1,1,1,0,0,42,0,5,3,6,5,1,7,2,6,4,1,7,4,1,7,2,7,2,7,3,6,2,1,2,4,5,4,2,4,2,2,6,3,6,7,5,7,1,1,2,2,5,1,,,32
32,1,0,0,1,0,46,1,1,5,5,6,3,3,4,1,3,6,4,6,4,7,1,7,4,7,3,6,5,4,2,5,5,1,4,4,2,7,4,4,5,7,2,2,7,7,2,3,1,0,,,33
33,1,0,1,0,1,40,3,3,5,3,6,3,4,7,4,3,7,6,4,7,5,6,1,4,4,5,5,5,5,5,5,5,7,2,1,6,7,6,2,6,6,6,3,3,4,4,5,4,0,,,34
34,0,1,1,1,0,51,2,4,3,7,4,1,6,5,7,7,7,5,3,7,4,5,7,1,7,3,5,3,4,7,3,3,5,3,1,5,2,4,2,4,3,3,5,5,6,7,2,6,0,,,35
35,0,0,0,1,1,54,1,3,1,6,7,2,6,1,1,7,2,5,1,5,2,6,7,7,4,2,4,2,5,7,2,3,6,2,2,5,5,5,7,3,6,1,5,4,2,7,4,7,0,,,36
36,0,0,0,1,1,57,3,3,1,7,6,3,2,6,6,6,3,7,6,4,6,1,4,7,7,5,7,4,4,1,4,1,4,6,3,3,7,2,5,3,5,7,7,1,7,3,4,6,1,,,37
37,1,1,1,1,0,29,0,0,4,7,3,5,3,6,6,4,2,1,4,5,7,4,4,2,4,2,7,6,6,1,1,3,6,2,7,6,5,1,2,6,5,2,4,1,7,2,4,4,1,,,38
38,0,0,0,1,0,45,3,5,5,3,5,3,3,5,7,1,1,4,4,3,1,4,3,6,5,4,7,7,3,6,6,5,5,6,5,1,6,1,1,2,4,3,1,3,1,3,2,6,1,,,39
39,0,0,1,0,0,43,0,4,3,4,4,2,2,6,2,2,7,7,5,1,2,2,6,6,1,5,1,7,7,7,7,2,4,3,2,4,4,2,6,2,7,5,4,7,5,6,3,4,1,,,40
40,0,1,1,0,0,26,2,1,1,4,3,6,5,1,2,5,5,4,5,5,2,2,1,2,2,4,3,3,4,6,5,7,1,6,1,7,2,1,2,7,5,1,4,2,3,4,4,3,1,,,41
41,1,1,1,0,1,24,3,5,4,6,1,3,5,4,5,7,6,7,2,5,7,3,5,1,3,1,6,5,1,5,3,7,2,3,5,1,1,6,4,7,6,4,1,2,6,2,1,2,1,,,42
42,1,1,0,1,0,42,2,5,6,5,4,3,7,5,4,5,5,3,3,2,1,2,5,6,6,5,5,7,1,5,1,2,6,2,3,4,1,3,3,7,3,5,5,5,3,6,2,3,0,,,43
43,1,1,0,1,1,33,0,1,2,4,4,3,6,6,1,6,2,2,1,6,6,6,1,7,3,7,5,5,4,6,7,4,2,2,2,7,6,7,7,2,2,3,3,6,2,6,3,2,0,,,44
44,1,1,0,1,1,37,2,5,2,7,3,3,7,1,4,3,3,5,6,5,6,6,4,6,1,1,4,4,3,4,3,5,7,6,2,4,2,7,3,3,5,2,3,4,5,5,2,3,0,,,45
45,0,1,1,1,1,41,3,0,2,2,6,1,6,3,6,1,5,6,3,4,1,1,2,6,4,4,1,4,2,5,2,3,5,7,7,2,6,7,7,7,2,4,1,6,6,4,7,4,1,,,46
46,0,1,0,1,1,37,0,0,7,2,1,2,7,4,3,5,5,7,4,2,4,5,7,1,1,5,5,6,4,4,4,2,4,6,1,3,3,3,7,3,2,1,7,1,3,7,1,5,1,,,47
47,1,0,0,1,1,23,0,1,2,1,7,1,7,4,4,5,1,5,2,7,6,4,4,6,2,7,7,5,7,3,6,1,2,4,6,6,3,2,5,4,1,5,6,3,4,3,7,2,0,,,48
48,0,1,1,1,0,42,3,4,7,3,7,7,7,7,4,5,1,5,2,2,1,3,6,2,4,6,1,2,1,7,6,3,4,5,3,4,1,1,4,7,1,7,7,1,2,5,1,2,1,,,49
49,1,1,1,1,1,41,0,2,3,6,7,4,2,7,6,1,7,4,2,6,5,3,4,2,6,4,2,7,1,7,3,1,2,4,2,7,6,1,5,1,3,4,5,7,6,4,2,5,0,,,50
50,0,1,0,1,0,58,0,2,5,1,6,2,4,5,6,6,5,6,3,6,3,6,6,6,4,5,1,4,3,1,2,3,1,5,7,5,7,6,2,5,3,3,3,1,2,6,1,7,1,,,51
51,1,1,0,0,1,59,0,0,3,2,3,3,6,3,7,2,2,1,7,5,4,5,1,5,1,1,7,3,2,7,6,3,4,2,1,7,5,7,5,6,4,4,5,5,6,3,5,7,0,,,52
52,1,1,1,0,0,55,3,5,6,5,6,3,3,2,6,7,3,2,1,7,2,3,4,2,1,2,1,5,6,2,6,5,3,1,4,5,5,6,1,7,7,1,2,3,2,5,3,4,0,,,53
53,0,0,1,1,1,41,2,2,6,1,5,1,1,2,7,4,7,3,3,2,5,6,2,7,6,2,7,4,3,7,3,5,4,5,4,5,5,5,7,1,3,7,2,4,3,2,6,5,0,,,54
54,0,1,1,1,1,58,0,4,1,6,3,4,3,4,7,7,1,7,1,6,3,1,1,2,3,5,6,4,5,2,6,1,2,3,7,3,2,5,7,7,5,5,1,2,1,2,4,3,1,,,55
55,0,0,1,0,0,33,0,0,3,7,1,4,5,3,1,7,3,2,1,3,1,6,3,4,5,2,6,2,3,3,3,7,5,3,7,5,5,5,4,7,2,1,3,4,5,3,4,2,1,,,56
56,1,0,1,0,1,47,1,5,5,6,3,2,4,2,6,5,2,4,7,3,4,4,7,5,5,7,1,7,3,5,6,3,4,3,6,6,2,4,1,5,2,3,7,6,2,6,3,1,0,,,57
57,0,0,1,1,0,38,3,0,4,1,1,4,5,6,2,7,1,2,2,3,6,1,1,2,3,1,5,6,4,4,1,1,5,2,1,2,1,2,6,7,5,5,2,2,7,4,5,7,0,,,58
58,0,0,0,0,1,58,2,4,7,6,2,3,5,3,5,2,2,2,1,5,4,2,5,7,1,7,2,3,3,6,4,5,7,3,1,1,3,6,4,1,7,4,1,6,5,4,3,5,0,,,59
59,0,0,1,1,0,44,2,4,2,5,3,7,5,3,5,7,7,5,1,4,7,6,2,3,5,5,3,4,1,6,6,1,4,6,3,5,2,6,4,6,7,3,3,5,6,1,5,3,0,,,60
